Unnamed: 0,cluster,cluster_cats,cluster_cats_counts,comps_count,node_count
0,0.0,"['Cloud Security', 'Crowdsourcing', 'Biotechnology', 'Information Services', 'Compliance', 'Cloud Security', 'Optical Communication', 'Analytics', 'Biotechnology', 'Biotechnology', 'Medical Device', 'Electronics', 'Internet', 'Biotechnology', 'Biopharma', 'Biotechnology', 'Diabetes', 'Biotechnology', 'Electronics', 'Biotechnology', 'Biotechnology', 'Biotechnology', 'Health Care', 'Apps', 'Health Care', 'Information Technology', 'Automotive', 'Financial Services', 'Home Automation', 'Biotechnology', 'Information Technology', 'Biotechnology', 'Ad Targeting', 'Enterprise Software', 'Health Care', 'Biotechnology', 'Biotechnology', 'Analytics']","Counter({'Biotechnology': 13, 'Health Care': 3, 'Electronics': 2, 'Information Technology': 2, 'Analytics': 2, 'Cloud Security': 2, 'Crowdsourcing': 1, 'Biopharma': 1, 'Enterprise Software': 1, 'Optical Communication': 1, 'Internet': 1, 'Compliance': 1, 'Automotive': 1, 'Medical Device': 1, 'Home Automation': 1, 'Diabetes': 1, 'Ad Targeting': 1, 'Financial Services': 1, 'Apps': 1, 'Information Services': 1})",38.0,38.0
1,1.0,['Mobile Apps'],Counter({'Mobile Apps': 1}),1.0,1.0
2,2.0,[],Counter(),0.0,1.0
3,3.0,[],Counter(),0.0,1.0
4,4.0,['Internet'],Counter({'Internet': 1}),1.0,1.0
5,5.0,[],Counter(),0.0,1.0
6,6.0,['Hospitality'],Counter({'Hospitality': 1}),1.0,1.0
7,7.0,[],Counter(),0.0,1.0
8,8.0,['Consumer Electronics'],Counter({'Consumer Electronics': 1}),1.0,1.0
9,9.0,[],Counter(),0.0,1.0
10,10.0,['Business Intelligence'],Counter({'Business Intelligence': 1}),1.0,1.0
11,11.0,['Automotive'],Counter({'Automotive': 1}),1.0,1.0
12,12.0,['Cloud Infrastructure'],Counter({'Cloud Infrastructure': 1}),1.0,1.0
13,13.0,['Analytics'],Counter({'Analytics': 1}),1.0,1.0
14,14.0,[],Counter(),0.0,1.0
15,15.0,[],Counter(),0.0,1.0
16,16.0,[],Counter(),0.0,1.0
17,17.0,['File Sharing'],Counter({'File Sharing': 1}),1.0,1.0
18,18.0,['Internet'],Counter({'Internet': 1}),1.0,1.0
19,19.0,['Big Data'],Counter({'Big Data': 1}),1.0,1.0
20,20.0,['Computer'],Counter({'Computer': 1}),1.0,1.0
21,21.0,[],Counter(),0.0,1.0
22,22.0,[],Counter(),0.0,1.0
23,23.0,[],Counter(),0.0,1.0
24,24.0,[],Counter(),0.0,1.0
25,25.0,[],Counter(),0.0,1.0
26,26.0,['Analytics'],Counter({'Analytics': 1}),1.0,1.0
27,27.0,['Computer'],Counter({'Computer': 1}),1.0,1.0
28,28.0,['Construction'],Counter({'Construction': 1}),1.0,1.0
29,29.0,['Manufacturing'],Counter({'Manufacturing': 1}),1.0,1.0
30,30.0,[],Counter(),0.0,1.0
31,31.0,['Health Diagnostics'],Counter({'Health Diagnostics': 1}),1.0,1.0
32,32.0,[],Counter(),0.0,1.0
33,33.0,[],Counter(),0.0,1.0
34,34.0,[],Counter(),0.0,1.0
35,35.0,[],Counter(),0.0,1.0
36,36.0,[],Counter(),0.0,2.0
37,37.0,['Consumer Electronics'],Counter({'Consumer Electronics': 1}),1.0,1.0
38,38.0,['Communications Infrastructure'],Counter({'Communications Infrastructure': 1}),1.0,1.0
