,0,1
0,"('H. Barton Co-Invest Fund', {})",534
1,"('Eos Partners', {})",534
2,"('Mariam Naficy', {})",534
3,"('WeAre.Us', {'region': 'SF Bay Area', 'cat': 'Advertising', 'uuid': '838dea94-c287-d009-6a7a-e566af327d51'})",534
4,"('SharesPost Investment Management', {})",104
5,"('Daniel Darling', {})",534
6,"('Powerhive', {'region': 'SF Bay Area', 'cat': 'Cloud Computing', 'uuid': 'bbbafbef-3282-5575-e4d4-41314f137d2d'})",534
7,"('Chattanooga Renaissance Fund', {})",534
8,"('Jin Song Gao', {})",534
9,"('Telegent Systems', {'region': 'SF Bay Area', 'cat': 'Broadcasting', 'uuid': 'e547a09f-cdd9-1d56-ebe9-e6b77ed35768'})",316
10,"('Lead - Mayfield Fund', {})",534
11,"('James Packer', {})",534
12,"('Perfect Price', {'region': 'SF Bay Area', 'cat': 'Analytics', 'uuid': '4167670f-cb38-a46c-4274-831a7fd04089'})",534
13,"('Madison Parker Capital', {})",534
14,"('Metatron Global', {})",534
15,"('Smarking', {'region': 'SF Bay Area', 'cat': 'Parking', 'uuid': '4c066f1c-7acb-30a6-5a56-93161397e043'})",534
16,"('Speakeasy', {'region': 'SF Bay Area', 'cat': 'Apps', 'uuid': 'c4ce1047-629f-deea-d9c8-4aa72fe6cee9'})",534
17,"('Anna Patterson', {})",534
18,"('Hoods', {'region': 'SF Bay Area', 'cat': 'Local', 'uuid': '6daf0632-7af0-61c2-fd24-7de20c4769d2'})",534
19,"('Kast', {'region': 'SF Bay Area', 'cat': '3D Printing', 'uuid': 'b5e33c17-0ddf-5ba3-1d8b-c8ad6f9ceb89'})",534
20,"('Chameleon Systems', {'region': 'SF Bay Area', 'cat': 'Network Hardware', 'uuid': '383b7239-c387-ab46-243f-7765de48773e'})",534
21,"('Selina Tobaccowala', {})",534
22,"('The Column Group', {})",534
23,"('Yang Ventures', {})",534
24,"('Pedro Zapata Gil', {})",534
25,"('Fortscale', {'region': 'SF Bay Area', 'cat': 'Analytics', 'uuid': 'b3893d82-7da7-1052-3140-150432a9ffe9'})",534
26,"('Mind The Bridge', {})",534
27,"('Shawn Fanning', {})",534
28,"('The Fabric', {'region': 'SF Bay Area', 'cat': 'Web Hosting', 'uuid': '59d6e330-4938-2d9f-6bc7-c5fab0912471'})",534
29,"('Apsara Capital', {})",534
30,"('Indie Bio', {})",534
31,"('Leshinsky Finance LLC', {})",534
32,"('Sumitomo Corporation Equity Asia', {})",534
33,"('Massy Mehdipour', {})",534
34,"('Thomas Traxler', {})",534
35,"('First Round, Reach Capital', {})",534
36,"('Boatbound', {'region': 'SF Bay Area', 'cat': 'Boating', 'uuid': 'f96499c8-1632-5a34-3a7d-60f1fd74e047'})",534
37,"('Lone Pine Capital', {})",44
38,"('Fastback Networks', {'region': 'SF Bay Area', 'cat': 'Infrastructure', 'uuid': 'cf589146-7456-1118-35c4-a7472b3a1743'})",534
39,"('Rick Timmins', {})",534
40,"('Geoff Entress', {})",534
41,"('Jenny Haeg', {})",534
42,"('James Currier', {})",534
