category,score
Analytics,0.0020100502512562816
Biotechnology,0.017241379310344827
Advertising,0.0
Apps,0.0018248175182481751
Enterprise Software,0.001838235294117647
Cloud Computing,0.0
Health Care,0.0066815144766146995
E-Commerce,0.0
Internet,0.0027548209366391185
Mobile,0.0
Softwar,0.0
Big Data,0.0
Hardware,0.0
Electronics,0.009216589861751152
Computer,0.0
Consumer Electronics,0.0
Android,0.0
Manufacturing,0.0
Finance,0.0
Automotive,0.0070921985815602835
Collaboration,0.0
Information Technology,0.015267175572519083
Cyber Security,0.0
Content,0.0
B2B,0.0
Artificial Intelligence,0.0
Education,0.0
EdTech,0.0
Communications Infrastructure,0.0
Developer Tools,0.0
Energy,0.0
Mobil,0.0
Biopharma,0.010101010101010102
3D Technology,0.0
Crowdsourcing,0.010752688172043012
Digital Media,0.0
Gaming,0.0
Cloud Data Services,0.0
Health Car,0.0
Clean Energy,0.0
Biotechnolog,0.0
Financial Services,0.013513513513513514
Data Center,0.0
Fitness,0.0
Bitcoin,0.0
Developer Platform,0.0
Customer Service,0.0
Business Development,0.0
Cloud Infrastructure,0.0
Consumer,0.0
CRM,0.0
E-Commerc,0.0
Enterprise Softwar,0.0
Digital Entertainment,0.0
Communities,0.0
Accounting,0.0
Audio,0.0
Email,0.0
Ad Network,0.0
Blogging Platforms,0.0
Consulting,0.0
Career Planning,0.0
Database,0.0
Information Services,0.020833333333333332
Battery,0.0
Social Medi,0.0
Delivery,0.0
Credit,0.0
Enterprise,0.0
Cloud Security,0.045454545454545456
Brand Marketing,0.0
Communication Hardware,0.0
Hospitality,0.0
Software,0.0
Infrastructure,0.0
Educatio,0.0
Data Storage,0.0
Banking,0.0
Business Intelligence,0.0
Architecture,0.0
Beauty,0.0
Messaging,0.0
Developer APIs,0.0
Broadcasting,0.0
Food and Beverage,0.0
Ad Targeting,0.02631578947368421
Construction,0.0
Media and Entertainment,0.0
SaaS,0.0
Location Based Services,0.0
Collaborative Consumption,0.0
Agriculture,0.0
Mobile Apps,0.0
Art,0.0
Interne,0.0
Application Performance Management,0.0
App,0.0
Crowdfunding,0.0
Local,0.0
Chemical,0.0
Industrial,0.0
CleanTech,0.0
Network Hardware,0.0
Semiconductor,0.0
Billing,0.0
Advertisin,0.0
Network Security,0.0
Internet of Things,0.0
Aerospace,0.0
Marketplace,0.0
Analytic,0.0
iOS,0.0
Advertising Platforms,0.0
Biofuel,0.0
Human Resources,0.0
Fashion,0.0
File Sharing,0.0
Advanced Materials,0.0
Messagin,0.0
Events,0.0
Children,0.0
Content Delivery Network,0.0
3D Printing,0.0
FinTech,0.0
Biometrics,0.0
Cloud Management,0.0
Augmented Reality,0.0
Trave,0.0
Identity Management,0.0
Consumer Lending,0.0
Music,0.0
Marketing,0.0
Cooking,0.0
A/B Testing,0.0
Event Management,0.0
Information Technolog,0.0
Securit,0.0
EDA,0.0
Sport,0.0
App Marketing,0.0
New,0.0
Financ,0.0
Social Media,0.0
Content Discovery,0.0
Compliance,0.058823529411764705
Charity,0.0
Web Hostin,0.0
Browser Extensions,0.0
Asset Management,0.0
Logistics,0.0
Image Recognition,0.0
Data Integration,0.0
Digital Marketing,0.0
Contact Management,0.0
Musi,0.0
Casual Games,0.0
Search Engine,0.0
News,0.0
Cloud Storage,0.0
Document Management,0.0
Drones,0.0
Search Engin,0.0
Health Diagnostics,0.0
Auctions,0.0
Coupons,0.0
Film,0.0
Enterprise Applications,0.0
Employee Benefits,0.0
Ediscovery,0.0
Content Creators,0.0
Consumer Software,0.0
Product Design,0.0
Government,0.0
Intellectual Property,0.0
Credit Cards,0.0
Corporate Training,0.0
Management Information Systems,0.0
Energy Efficiency,0.0
Alternative Medicine,0.0
Employment,0.0
ERP,0.0
Real Estat,0.0
Auto Insurance,0.0
Email Marketing,0.0
Open Source,0.0
Diabetes,0.09090909090909091
Clinical Trials,0.0
Computer Vision,0.0
Business Travel,0.0
Knowledge Management,0.0
Advice,0.0
Data Visualization,0.0
Nanotechnology,0.0
Internet Radio,0.0
Recruiting,0.0
Home Automation,0.1
Concerts,0.0
Business Information Systems,0.0
Electrical Distribution,0.0
Marketing Automation,0.0
Mobile Devices,0.0
Elder Care,0.0
Vide,0.0
EBooks,0.0
Private Social Networking,0.0
Professional Networking,0.0
Consumer Applications,0.0
VoIP,0.0
Digital Medi,0.0
Commercial Real Estate,0.0
Fashio,0.0
Gamification,0.0
Manufacturin,0.0
IT Management,0.0
Machine Learning,0.0
Energy Storage,0.0
Child Care,0.0
Semiconducto,0.0
Lifestyle,0.0
Bitcoi,0.0
Consumer Electronic,0.0
CAD,0.0
GreenTech,0.0
Dating,0.0
Consultin,0.0
Recruitin,0.0
Optical Communication,0.14285714285714285
Telecommunications,0.0
Fraud Detection,0.0
Public Relation,0.0
Ediscover,0.0
GPS,0.0
Photograph,0.0
eSports,0.0
DIY,0.0
Financial Service,0.0
Property Management,0.0
Supply Chain Management,0.0
Payments,0.0
Electric Vehicle,0.0
Tourism,0.0
Loyalty Programs,0.0
Flash Storage,0.0
Market Research,0.0
Social CRM,0.0
Food Processing,0.0
Photography,0.0
ISP,0.0
Privacy,0.0
Consumer Goods,0.0
Celebrity,0.0
Lega,0.0
Hospitalit,0.0
Small and Medium Businesses,0.0
Incubators,0.0
Commercial,0.0
Social Bookmarking,0.0
Coffee,0.0
Service Industry,0.0
Gambling,0.0
Bioinformatics,0.0
E-Learning,0.0
Medica,0.0
Autonomous Vehicles,0.0
Leisure,0.0
Freemium,0.0
Machine Learnin,0.0
Wireles,0.0
Genetic Testing,0.0
Non Profi,0.0
Consumer Reviews,0.0
Embedded Systems,0.0
Adventure Travel,0.0
Sensor,0.0
Online Portals,0.0
Clean Energ,0.0
Automotiv,0.0
Elderly,0.0
Alumni,0.0
Home Decor,0.0
Indoor Positioning,0.0
College Recruiting,0.0
Industrial Automation,0.0
Energy Management,0.0
Building Material,0.0
Ride Sharing,0.0
Lead Management,0.0
Life Science,0.0
Web Developmen,0.0
Dietary Supplements,0.0
Call Center,0.0
Energ,0.0
Law Enforcement,0.0
Network Securit,0.0
Real Time,0.0
Archiving Service,0.0
Fleet Management,0.0
Real Estate,0.0
Ad Exchange,0.0
Fitnes,0.0
Furniture,0.0
Operating Systems,0.0
Innovation Management,0.0
B2C,0.0
Security,0.0
Data Mining,0.0
Car Sharing,0.0
Nanotechnolog,0.0
Content Marketing,0.0
FinTec,0.0
Video,0.0
Saa,0.0
Customer Servic,0.0
Green Building,0.0
Ad Server,0.0
Mobile Payments,0.0
Legal,0.0
mHealth,0.0
Continuing Education,0.0
App Discovery,0.0
Bakery,0.0
Geospatial,0.0
Semantic Search,0.0
Family,0.0
Fuel Cell,0.0
Supply Chain Managemen,0.0
Infrastructur,0.0
Interior Design,0.0
DSP,0.0
Boating,0.0
Insurance,0.0
Transportatio,0.0
Photo Sharing,0.0
VoI,0.0
Scheduling,0.0
Lighting,0.0
Shippin,0.0
Identity Managemen,0.0
Home Improvement,0.0
Cyber Securit,0.0
Restaurants,0.0
Hardwar,0.0
Risk Management,0.0
Human Resource,0.0
Personal Branding,0.0
Medical Device,0.3333333333333333
Linux,0.0
Internet of Thing,0.0
Language Learnin,0.0
Bankin,0.0
Quality Assurance,0.0
Gift,0.0
Home Services,0.0
Communications Infrastructur,0.0
Animation,0.0
Creative Agency,0.0
Retai,0.0
Market Researc,0.0
Telecommunication,0.0
Parking,0.0
Air Transportation,0.0
Digital Signage,0.0
Developer Tool,0.0
Restaurant,0.0
Content Syndication,0.0
PC Games,0.0
Drone,0.0
Web Design,0.0
3D Printin,0.0
Direct Sales,0.0
Farming,0.0
Digital Entertainmen,0.0
Home Health Care,0.0
Meeting Software,0.0
Laser,0.0
Veterinar,0.0
MMO Games,0.0
Employmen,0.0
Film Production,0.0
Knowledge Managemen,0.0
Cloud Data Service,0.0
Diving,0.0
E-Commerce Platform,0.0
Wearable,0.0
Public Transportation,0.0
B2,0.0
Collaboratio,0.0
National Security,0.0
Social Network,0.0
AgTech,0.0
Landscaping,0.0
Presentations,0.0
Drone Management,0.0
Developer API,0.0
Retail,0.0
Payment,0.0
Publishing,0.0
Optical Communicatio,0.0
Gamblin,0.0
Video Streamin,0.0
E-Commerce Platforms,0.0
Predictive Analytics,0.0
Angel Investment,0.0
Marketing Automatio,0.0
Information Service,0.0
Medical,0.0
Embedded Software,0.0
Big Dat,0.0
Catering,0.0
Robotic,0.0
Graphic Desig,0.0
Ad Networ,0.0
Food Processin,0.0
Public Relations,0.0
Home Automatio,0.0
Consumer Research,0.0
Parentin,0.0
Video Game,0.0
Toy,0.0
Brewing,0.0
Sola,0.0
E-Learnin,0.0
Hedge Funds,0.0
Sustainability,0.0
IT Infrastructure,0.0
Photo Sharin,0.0
Semantic We,0.0
Point of Sal,0.0
Electronic,0.0
Venture Capita,0.0
Organic Foo,0.0
Mobile Device,0.0
Film Distribution,0.0
Open Sourc,0.0
Innovation Managemen,0.0
Fertility,0.0
Machinery Manufacturing,0.0
Location Based Service,0.0
Console Games,0.0
Reputation,0.0
Adult,0.0
Beaut,0.0
TV,0.0
Wholesal,0.0
Cosmetic Surgery,0.0
Home Renovation,0.0
Broadcastin,0.0
Jewelry,0.0
Music Venue,0.0
Wate,0.0
Baby,0.0
Price Comparison,0.0
Group Buying,0.0
Subscription Servic,0.0
Fantasy Sports,0.0
Stock Exchange,0.0
Collaborative Consumptio,0.0
Gift Car,0.0
Hotel,0.0
Emerging Markets,0.0
Real Tim,0.0
Project Management,0.0
Advertising Platform,0.0
Renewable Energy,0.0
Environmental Consulting,0.0
Meeting Softwar,0.0
Cosmetic,0.0
Databas,0.0
Micro Lending,0.0
Public Transportatio,0.0
Professional Services,0.0
Risk Managemen,0.0
Reading App,0.0
Parenting,0.0
Shoppin,0.0
Neuroscienc,0.0
Professional Networkin,0.0
Facebook,0.0
Crowdsourcin,0.0
Aerospac,0.0
Politic,0.0
Event,0.0
Trainin,0.0
Home and Garden,0.0
LGBT,0.0
Industrial Engineering,0.0
Wine And Spirit,0.0
Energy Managemen,0.0
Email Marketin,0.0
Software Engineerin,0.0
Cosmetics,0.0
Classifieds,0.0
MMO Game,0.0
Graphic Design,0.0
Wealth Managemen,0.0
Industria,0.0
Batter,0.0
Small and Medium Businesse,0.0
Product Desig,0.0
Architectur,0.0
Business Intelligenc,0.0
Deliver,0.0
Language Learning,0.0
Rental,0.0
iO,0.0
Image Recognitio,0.0
Hydroponics,0.0
Compute,0.0
Emai,0.0
Robotics,0.0
Mapping Services,0.0
Personalization,0.0
Point of Sale,0.0
Photo Editing,0.0
Food and Beverag,0.0
Outsourcing,0.0
Debt Collections,0.0
Natural Resources,0.0
Therapeutic,0.0
Web Desig,0.0
Natural Language Processing,0.0
Affiliate Marketing,0.0
Lead Generatio,0.0
DRM,0.0
Life Scienc,0.0
Clinical Trial,0.0
Incubator,0.0
Media and Entertainmen,0.0
Housekeeping Service,0.0
SEO,0.0
Service Industr,0.0
Medical Devic,0.0
Home Renovatio,0.0
GPU,0.0
Marketin,0.0
Online Auctions,0.0
Blogging Platform,0.0
Financial Exchanges,0.0
Space Travel,0.0
Green Consumer Good,0.0
Communitie,0.0
CleanTec,0.0
Facilities Support Services,0.0
Young Adult,0.0
Cloud Computin,0.0
Office Administration,0.0
CA,0.0
Credit Card,0.0
Logistic,0.0
Mechanical Design,0.0
